comment_id;parent_comment_id;video_id;author_display_name;author_channel_id;author_channel_url;text_display;text_original;like_count;total_reply_count
UgwMadYUidV-3N0t5Fd4AaABAg;None;vE7Cy5csYbQ;@gamer_sihab99;UC9J1qUNkM6E--dpX1oK2aPA;http://www.youtube.com/@gamer_sihab99;please upload a automation using python course in your youtube channel;please upload a automation using python course in your youtube channel;0;0
UgzecDp_7DA0pi7FsJh4AaABAg;None;vE7Cy5csYbQ;@hasnainalam9186;UCbD81OEMQ-JOhdRGDCyOdCg;http://www.youtube.com/@hasnainalam9186;Great knowledge;Great knowledge;0;0
UgwBE4qu8WApq3v24q54AaABAg;None;vE7Cy5csYbQ;@bharath2508;UCNLsDS66jLmtNx1O4zSk5GA;http://www.youtube.com/@bharath2508;Even Maggi takes more than 2 minutes;Even Maggi takes more than 2 minutes;2;0
Ugyl-YWLEPxmAsG7-8t4AaABAg;None;vE7Cy5csYbQ;@Pythonist_01;UCqN3cO_0sTFnFj_MXsFdaGw;http://www.youtube.com/@Pythonist_01;Kinda awkward but ill choose python no matter what 😅;Kinda awkward but ill choose python no matter what 😅;1;0
UgxC53O3Detoripm-9d4AaABAg;None;vE7Cy5csYbQ;@vibezmania;UC-OKAH7Rin04DGpW5C5AqZw;http://www.youtube.com/@vibezmania;"<a href=""https://www.youtube.com/watch?v=vE7Cy5csYbQ&amp;t=23"">0:23</a>";0:23;0;0
Ugx14XmmE38cKR5AETZ4AaABAg;None;vE7Cy5csYbQ;@Itwasnme;UCO5gNxVNDcnOZg4ut7eRbEA;http://www.youtube.com/@Itwasnme;"Mr mosh I was wondering, if one wanted to created an advance user interface like jarvis in iron man or maybe an ai virtual assistant what learning path would make sense. I&#39;m currently learning js from you";Mr mosh I was wondering, if one wanted to created an advance user interface like jarvis in iron man or maybe an ai virtual assistant what learning path would make sense. I'm currently learning js from you;0;0
UgyCVa3Dvz14ljKx4dh4AaABAg;None;vE7Cy5csYbQ;@this.channel;UCLQNBfefReJ2vDKR5b83I2g;http://www.youtube.com/@this.channel;Mosh, what do you think of Go?;Mosh, what do you think of Go?;0;0
UgxdGRB-iRZb2DhHI4B4AaABAg;None;vE7Cy5csYbQ;@pastuh;UCpyyTFf7untbmqhgD7n45YQ;http://www.youtube.com/@pastuh;indent is confusing for sure :);indent is confusing for sure :);0;0
Ugwj0MhMsgQ0QJ8aVqZ4AaABAg;None;vE7Cy5csYbQ;@salahtamimy5322;UCdKzUkHzoVBPefFZPTSY8tA;http://www.youtube.com/@salahtamimy5322;Amazing...thanks;Amazing...thanks;0;0
UgwIbaMdvaZMR6wwqrV4AaABAg;None;vE7Cy5csYbQ;@divyanshgoel128;UCFBOzIYqmjUkg1jndEEjHwA;http://www.youtube.com/@divyanshgoel128;First time typing first;First time typing first;9;1
UgyPqfNshHJxS0zPi6B4AaABAg;None;vE7Cy5csYbQ;@-InnOCenT-44;UC8iaA3qa24Or5UZ8nagyOMw;http://www.youtube.com/@-InnOCenT-44;"I&#39;m a C++ and python programmer but i don&#39;t hate python 😅❤...";I'm a C++ and python programmer but i don't hate python 😅❤...;0;4
UgwZXEoZgeyVeEX1VHx4AaABAg;None;vE7Cy5csYbQ;@Thuya-ov7nu;UC81rJVMpMkauGofEoElhZWQ;http://www.youtube.com/@Thuya-ov7nu;Make for java;Make for java;0;0
UgxhY-eAMCYDX6FZCxl4AaABAg;None;vE7Cy5csYbQ;@loribryant4999;UCK5QcTB9Mj8b4HAshWEKNpw;http://www.youtube.com/@loribryant4999;Hey mosh can you create a kotlin course for android developers 😊;Hey mosh can you create a kotlin course for android developers 😊;0;0
